Name,Summary,Tagged Interests
Pi Sigma Alpha: National Political Science Honors Society,"To further the scholastic goals of its membership in the fields of study of affiliated majors, integrate its membership into the Penn State community through service, and provide a forum in which students can discuss political science issues.","Science, Community, Service"
Pillar,"Pillar is a welcoming environment for students to get involved in Penn State Dance Marathon by means of fundraising, providing support for the Four Diamonds fund and building a sound community within a large university.","Dance, Fundraising, Community, Sustainability"
Planned Parenthood Generation Action at Penn State,"PPGen@PSU serves the Penn State community by making efforts to change stigma on topics such as abortion, racial and gender equality, and more as well as by making headway on the issues of reproductive health on campus for students.","Women’s Empowerment, Community, Human Rights"
Plant Biology Graduate Student Association,"PBGSA encompasses students in Plant Biology Intercollegiate degree program and works for arranging social, cultural, and career development events for the community for all round development of members and increase their outreach.","Leadership, Community, Social Club, Heritage, Science"
Plant Pathology Association,Provides its members with a platform to explore and promote plant pathology within the community.,Community
Plant Science Graduate Student Association,"The Plant Science Graduate Student Association provides opportunities for academic collaboration and community support for graduate students in the Plant Sciences by facilitating communication between students, faculty, and staff across graduate programs","Science, Community"
Poetry Club,"The Poetry Club seeks to promote poetry as an important and beneficial art, in all its forms and presentations. We hope to foster a supportive community to aid in writing, sharing, understanding, and performing poetry.","Writing, General Student Organizations, Community, Art"
Pokemon Society,A place where Pokémon fans can get together and enjoy every aspect of the franchise - competitive to casual.,General Student Organizations
Polish Club at Penn State,Polish Club is a group at University Park that exists as a hub for students with a Polish background to meet one another and share their own experiences.,General Student Organizations
Pollock Halls Residence Association,"PHRA serves as the official voice for Pollock’s residential student population; providing advocacy, leadership, and civic engagement to encourage the holistic development of our communities.","Leadership, Community, Advocacy"
Pop Culture Club,A meeting of new friends to get together and talk about all things pop-culture!,"General Student Organizations, Social Club"
Poultry Science Club,"The Poultry Science Club promotes the study of the avian species and enhances members' understanding of the poultry industry. The club partakes in many activities, fundraisers, community service projects and develops individual and group leadership.","Leadership, Community, Service, Art, Science, General Student Organizations"
Pre-Dental Society,"Pre-Dental Society assists students interested in a career in dentistry by educating, providing community service, and informing students how to achieve their ultimate goal.","Community, Service, Special Interest"
Pre-Physical Therapy Club,Gives students who are interested in physical therapy as a profession a source of information about graduate programs in physical therapy.,"General Student Organizations, Special Interest"
Pre-Physician Assistant Club,The Pre-Physician Assistant Club provides students interested in the physician assistant profession with support and valuable information about graduate school and the PA career.,"General Student Organizations, Special Interest"
Pre-Vet Club,Provides a unified extracurricular medium for students interested in veterinary medicine.,"Medicine & Health, General Student Organizations, Special Interest"
Pregnancy Resource Clinic at Penn State,To offer Penn State students facing an unplanned pregnancy hope and healing through connecting them with the resources that exist at State College's Pregnancy Resource Clinic. ,General Student Organizations
Presbyterian Student Fellowship,"All are welcome. You don’t have to be Presbyterian or even Christian to have a place at the table. We just hope that if you need a community, this one can be good for you!","Community, Christian Organizations"
Prime,"Penn State Prime is an innovative network of students who enhance their branding, media, and analytical skills through competitive projects, interfacing with corporate and community leaders, and the diversification of their co-curricular intelligence.","Business, Marketing, Community"
Professional American Football Fan Club,"A community for fans of Professional American Football. We offer viewings on gamedays, and discussions during the offseason about signings and trades. Open to fans of all teams/players!","General Student Organizations, Football, Community"
Professional Golf Management,Provides a forum for all Professional Golf Management students to openly discuss relevant golf related issues.,Leadership
Professional Management Association,We aim to prepare members for the realities and challenges of the corporate world and to provide members with an opportunity to develop leadership and managerial skills through philanthropic and organizational activities.,"Business, Leadership"
Professional Soccer Watch Club,"Soccer watch parties (Premier League, La Liga, Champions League, etc.), We will also play soccer pick up games.","Soccer, General Student Organizations, Art"
Project 26 at Penn State ,"Project 26 is a non-partisan, youth-led organization focused on registering students to vote. ",Art
Project PAWS,"Project PAWS works towards the benefit of local animal shelters to ensure the welfare of all companion animals through fundraising, volunteering, and leading by example. ","Service, Fundraising"
Psi Chi - the International Honor Society in Psychology,"Psi Chi serves to advance the science of psychology and encourages, stimulates, and maintains scholarship of and interaction among the individual members in all fields.

Membership is open to all students who meet the qualifications!","Science, International, Psychology"
Psi Chi at World Campus,Penn State World Campus Psi Chi is an International Honor Society in Psychology comprising many students from different areas of the world.,"International, Psychology"
Psychology Club at World Campus,"Created by undergraduate psychology students, the World Campus Psychology Club provides students with a way to connect with students and faculty involved with the psychology program.","General Student Organizations, Psychology"
Public Health Club,This organization allows students to stay up to date with public health concerns as well as assist students in applying to graduate schools or the job force.,"Medicine & Health, General Student Organizations"
Public Policy Association at Penn State,"The purpose of the Penn State Public Policy Association is to promote the development of students as scholars and future professionals in the field of public policy. As part of its mission, the organization publishes the Penn State Public Policy Journal.","Leadership, Art"
Public Relations Student Society of America,Follow us on Instagram @pennstateprssa for the latest updates!,Public Relations
Puerto Rican Student Association,"Our mission is to provide Puerto Rican students with professional and social activities that will promote their educational and cultural concerns as well as strengthen the Puerto Rican cultural heritage at a local, state, and national level.","Social Club, Heritage, Fitness"
Pullers 1/4 Scale Tractor Team at Penn State,The Penn State Pullers 1/4 Scale Tractor Team operates under the College of Agriculture and the Department of Agricultural and Biological Engineering. ,"Heritage, Engineering, Art"
Pulsar Search Collaboratory,The Pulsar Search Collaboratory (PSC) is a joint project between West Virginia University (WVU) and Pennsylvania State University (PSU). Members analyze drift scan radio astronomy data and serve as mentors for other PSC branches.,Broadcasting
PULSE: Promoting Understanding and Leadership in Sustainable Public Health Education,PULSE is a club focused on creating opportunities for students to practice their desired impacts on the public health field. ,"Medicine & Health, Leadership, General Student Organizations"
Quantitative Finance Club at Penn State,"A. To discuss, teach, and apply concepts of quantitative analysis in a financial contextB. To utilize technology with business- combining technical financial analysis methods and mathematical concepts with applied tech...","Mathematics, Business, Technology, Finance, General Student Organizations"
"Queer, Transgender, People of Color",Contact us via email or follow our Instagram for updates and information.,LGBTQ+
Quiz Bowl,"Penn State Quizbowl is a club for anyone interested in academic trivia! We host weekly practices and attending quizbowl tournaments several times per semester. For any lovers of art, literature, history, science, music, geography, and other subjects!","Writing, Art, Special Interest, Science, Music, General Student Organizations, Books"
Raw Aesthetic Movements,Our mission as RAM is to inspire hip-hop culture in a positive light internally and externally. We achieve this goal by encouraging the freedom of expression through dance.,"Journalism, Dance"
Reach Society at Penn State,Penn State's social media organization that aims to build a strong community amongst the rapidly growing social media and entertainment industry. ,"Social Media, Water Sports, Community, Social Club"
Realty Association at Penn State,"PSRA aims to prepare students for successful careers in commercial real estate. Experience in PSRA gives students the opportunity to join Old State Realty, one of the nation's only student-run mock commercial real estate investment funds.",Finance
"Recreation, Park and Tourism Management Student Society","The mission of Penn State's Recreation, Park and Tourism Management Student Society (RPTMSS) is to create a strong, functioning network of RPTM students who come together to promote their department and major to the University and community- Provide prof","Leadership, Community, Art, Travel"
"Recreation, Park, and Tourism Management Graduate Student Association",Promotes the professional and academic development of RPTM graduate students by providing a forum for discussing relevant issues and fostering a sense of community with both graduate students and faculty.,"Leadership, Community, Travel"
Recreational Club Badminton,"We are dedicated to promoting the sport of badminton within the campus community. We provide a welcoming environment for players of all skill levels, from beginners to advanced competitors. Our club offers regular practice sessions and fun social events!","General Student Organizations, Community, Social Club, Sustainability"
Recreational Cricket Club at Penn State,"The Official Cricket Club at Penn State. We play, we watch and most importantly, we enjoy the sport of cricket.",General Student Organizations
Red Cell Analytics Lab,Purpose: Give students experience in analyzing real world problems. Prepare students for the professional world by helping them develop critical thinking skills.Lead workshops/scenarios to exercise skills.,"Service, Mathematics"
Reformed University Fellowship,"RUF provides an in-depth ministry to university students firmly rooted in the authority of the Bible, and its many applications. We are an on-campus community in Penn State seeking to experience the gospel in community...","Writing, Community, Christian Organizations"
Relay for Life at Penn State,"Relay for Life at Penn State is a national collaboration of college students, faculty and staff dedicated to fighting cancer, volunteering for the American Cancer Society, and improving college communities. ",Service
Remedy Sports Club,Remedy Sports club is about youth sports and the growing referee/official shortage across the US. A group of college students interested in sports or sports officiating coming together to understand the problem and proactively raise awareness/solutions.,"Water Sports, General Student Organizations, Special Interest"
Remote Area Medical,"Penn State RAM gives students the chance to volunteer at Remote Area Medical (RAM) clinics, which provide free, quality healthcare to underserved communities. This opportunity is particularly valuable for aspiring health professionals.","Medicine & Health, Service, Art"
Renaissance Faire Club at Penn State,"The PSU Renaissance Faire Club is dedicated to fostering a vibrant community that celebrates creativity, history, and the arts. We aim to inspire members through engaging events, immersive experiences, and hope to run a faire during the spring semester.","General Student Organizations, Community, Art"
Reproductive Justice Project at Penn State,"The PSRJP is a hub for all things reproductive justice (RJ) at Penn State, housed within the WGSS Dept. Our purpose is to advance RJ efforts at Penn State, particularly through promoting RJ and RJ-related education, events, programs, and organizations. ","Art, Human Rights"
Residence Life - Living Learning Communities,-Connect with the staff for the Residence Life Living Learning Communities at PSU University Park!,General Student Organizations
Revive at Penn State,"Revive is a Jesus-centered campus ministry at Penn State. We are real people doing real life together, & we are intent on adopting everyone into the family of faith by showing them their value as children of God. ",Religious
Rhythm Gaming Club - Dance Dance Maniacs,Rhythm Gaming Club - Dance Dance Maniacs is a club devoted to promoting physical activity and entertainment via dance simulation video games similar to Konami's Dance Dance Revolution series and various other rhythm games.,"Gaming, General Student Organizations, Dance"
Ri3D at Penn State,"""Robot in 3 Days"" at Penn State prepares for and hosts an annual build event to design and construct a functional competitive-concept FIRST Robotics Competition robot in 72 hours!",Fashion
Rifle Club,Provides training and intercollegiate competition in the sport of Olympic Rifle Shooting.,General Student Organizations
Rince Na Leon,"Through performance of traditional Irish dance, Rince na Leon hopes to promote Irish culture and enrich the community of Penn State with a new culturally immersive organization.","Dance, Heritage, Community"
Risk Management Association,The Risk Management Association is dedicated to providing its members with a forum for professional and personal development. It will facilitate the advancement of its members by holding professional development opportunities and providing leadership exp,Leadership
Roar Zone,"The Roar Zone is the official student section of Penn State Men's and Women's Ice Hockey. Our mission is to provide an exciting, positive, and supportive atmosphere inside Pegula Ice Arena.",Women’s Empowerment
Robo X,"The purpose of this club is to encourage engineering personal project and competition. The club's currently major purpose is to organize, prepare, and enter the Robomaster competition.","General Student Organizations, Engineering"
Robotics Club at Penn State,"Robotics Club focuses on the design, fabrication, and deployment of Arduino autonomous robots.  In the club, members can learn about programming, design, and modern manufacturing tools such as 3D printing.","Technology, General Student Organizations, Fashion"
Rubik's Cube Club,"The Rubik's Cube Club was made to welcome beginners who are interested in learning to solve the Rubik's cube, and experienced solvers who want an environment to learn and compete against others.","Special Interest, General Student Organizations, Sustainability"
Rugby Football Club - Men's,Promotes the sport of rugby through athleticism and camaraderie competitively and socially.,"General Student Organizations, Soccer, Football, Social Club"
Rugby Football Club - Women's,"Provides an organized environment for beginning players to learn the game of rugby, and for experienced players to improve their skills, and promotes popularity and interest in the game.","Sustainability, Football, Special Interest, Women’s Empowerment, Soccer, General Student Organizations"
Rural Sociology Graduate Association,To advance the graduate program in Rural Sociology by:     A. Facilitating the involvement of graduate students interested in rural sociology in conferences and similar events     B. Furthering the academic and profess...,Special Interest
Russian Studies Club,"The Russian Studies Club aims to create a network to facilitate communication among students in different years and, beyond that, to get in touch with alumni of the Russian studies in the Department of Germanic and Slavic Languages and Literatures.","Writing, Art, European Student Life, General Student Organizations, Books"
RêVe Dance Company,"The purpose of the Penn State Rêve Dance Company is to mesh three important values of practicing all styles of dance, participating in philanthropy, and showcasing in competitions as we dedicate ourselves and ""dare to rêve...","Fashion, Dance, Philanthropy, Art"
Sales and Leadership at Penn State,"The Closers Collective creates at atmosphere for personal growth, sales experience, and networking opportunities for all psu students. ","Leadership, Social Club"
SAP Student Interest Group,Teaching students about SAP as both a business software program and as a potential career path,"Business, Technology, Special Interest"
Sapphire Leadership Program,"The Sapphire Leadership Program is committed to providing a unique co-curricular business program. This facilitates the advancement of our students through unparalleled professional opportunities, meaningful community serv...","Business, Leadership, Community, Special Interest"
Saudi Arabian Student Association,"Saudi Arabian Student Association aims to encourage lifelong learning, intellectual enrichment, professional growth and social interaction. SASA hosts different events including speakers’ events, professional networking, educational and social events. ","Social Club, Middle Eastern Student Life"
Saudi College Prep Program,"Our organization targets the students of Saudi Aramco at Penn State, leading by example and acting as a source of motivation to other universities where Aramco students are present, bringing about unified cooperation and connection between students.",Theater
Savoir Faire,"Savoir Faire stands proudly as Penn State’s original and only all-female a cappella group. We pride ourselves on bringing a fun and exciting energy to every musical performance, as well as maintaining a loving and inclusive sisterhood.","Music, LGBTQ+"
Saxophone Alliance,"To serve as a forum for saxophonists to share works in progress, techniques, ideas, and resources in an open and non-discriminatory manner.",General Student Organizations
School of Hospitality Management THON Committee ,The purpose of SHM THON is to represent the students in the School of Hospitality Management in Penn State's Dance Marathon. We serve as the voice for every student majoring in Hospitality Management who hopes to get involved with THON.,"Leadership, Dance"
School of International Affairs Black Student Association,"Organization for Black Students at the School of International Affairs designed to increase diversity and inclusion, highlight black contributions in foreign policy, and raise awareness for issues facing minorities at the School of International Affairs.","Black Student Life, Diversity, International, Fashion"
School of International Affairs Student Government Association,"To represent and support the interests of the SIA's graduate community by supporting scholarly activities and providing leadership, service, and social opportunities.","Leadership, Community, Service, International, Special Interest, Social Club"
School of Theatre Student Diversity Committee,"As an organized body of student advocates and allies, the mission of the School of Theater Student Diversity Committee is to support the development of an inclusive culturally pluralistic environment and advocate for diversity, equity, and inclusion. ","Leadership, Sustainability, Diversity, Heritage, Theater"
School of Visual Arts Black Indigenous and People of Color,"The mission of the organization is to provide students interested in the various visual mediums of art with opportunities for creative development, student collaboration, and community building.","Indigenous Student Life, Leadership, Community, Art, Black Student Life, Special Interest"
Schreyer Consulting Group,"A Schreyer Honors College organization preparing students for careers in Management, Technology, and Strategy Consulting.","Technology, Leadership"
Schreyer for Women,"A community within the Schreyer Honors College that focuses on empowering our scholars through professional and academic development, service events, community engagement programming, and creative special projects.","Leadership, Community, Service, Women’s Empowerment, Technology"
Schreyer Honors College Student Council,"Serves as a communication link between faculty, Schreyer Scholars, SHC administration, special interest housing, other college student councils, and SHC student orgs, and being comprised of 5 committees: social, service, merch, sustainability, and THON","Special Interest, Social Club, Service, Sustainability"
Schreyer Medical Team,The Schreyer Medical Team plans and hosts informational healthcare related events including speaker series and trips to nearby medical schools. ,Medicine & Health
Science and the Bible Club,To research the relationships between Science and the Bible and to educate others regarding these relationships.,"Science, General Student Organizations, Christian Organizations"
Science Lionpride,The ambassador organization for the Eberly College of Science. Providing insight to prospective students; connecting with Eberly College of Science Alumni; giving back to the Penn State and State College community.,"Science, Community, Philanthropy, LGBTQ+"
Science Olympiad at Penn State,"Science Olympiad at Penn State focuses on keeping students involved with the organization, whether they are a past participant or completely new. Members will help host a renowned invitational, participate in STEM outreach events, and get to know others!","Science, Art"
Science Policy Society,"The purpose of the Science Policy Society is to provide opportunities for scientists and engineers to explore the connection between research and public policy, producing more empathetic and societally-minded graduates.",Science
Scientific Journal Club at Penn State,The purpose of the Penn State Scientific Journal Club is to provide an environment for undergraduate students to discuss scientific literature. The club will aim to help members improve their critical analysis skills and foster significant discussion.,"Writing, General Student Organizations, Books, Sustainability"
Sculpture Club,Sculpture Club is a student-led organization providing students interested in the medium of sculpture with the resources and support to seek out professional and academic growth.,"General Student Organizations, Special Interest"
Servestate: Students For Philanthropy,"The purpose of this organization is to serve those around us for the betterment of humanity through community service, philanthropy, and fellowship.","Community, Service, Philanthropy"
Shades of Blue,"Shades of Blue is a co-ed contemporary a cappella group founded in 2003 that seeks to: improve the standards of a cappella at Penn State University-University Park, further members' musical awareness and understanding, exp...",Music
Shell Eco-Marathon,"Penn State competes in the Shell Eco-Marathon design competition where a team of students design, build, and drive energy efficient vehicles.",Fashion
Shotokan Karate-do,"We train in the traditional martial art of Shotokan Karate-do, a form of empty-handed self-defense. Shotokan has a profound history from its origins in the Ryukyu Islands of Okinawa ","Art, Heritage, Martial Arts"
Sigma Alpha,"Sigma Alpha is a Professional Agricultural Sorority. We focus on scholarship, leadership, service and fellowship. ","Leadership, Service, Heritage"
Sigma Alpha Epsilon,Fraternity,General Student Organizations
Sigma Alpha Pi -National Society of Leadership and Success,"The organization has been established to create a support group that will help college students achieve their goals and better their lives, in the process building leaders who make a better world. ",Leadership
Sigma Chi Mu Tau,"The Supply Chain Management Honor Society; Sigma Chi Mu Tau exists to recognize academic merit and to encourage leadership, ethical behaviors and commitment to high standards in the pursuit of supply chain management excellence.",Leadership
Sigma Delta Tau,Sigma Delta Tau is a sorority that values sisterhood to the highest capacity.,General Student Organizations
Sigma Gamma Tau,"Recognizes and honors scholarship, integrity, and achievement in aerospace.",General Student Organizations
Sigma Kappa,"Sigma Kappa is devoted to embodying the values of Sigma Kappa in everything we do. Our promise to exemplify personal growth, service, friendship, and loyalty is what makes Sigma Kappa stand apart.","Social Club, Service, Art"
"Sigma Lambda Beta International Fraternity, Inc.","Sigma Lambda Beta was founded April 4, 1986 at the University of Iowa by 18 men who saw a need for a Latino fraternity at the predominately caucasian university. ","International, Latino, Asian Student Life"
Sigma Lambda Gamma National Sorority Inc. ,"Through excellence in the organization’s five founding principles, Sigma Lambda Gamma National Sorority, Inc. provides opportunities for lifelong empowerment to its members, thereby positively influencing the global community.","International, Community"
Sigma Omicron Pi,"The sisterhood of Sigma Omicron Pi was established at San Francisco State University in 1930 by ten Asian American women pursuing the interest of teaching. They chose the Greek letters, Σ, Ο, and Π to represent themselves as the ""Sisters of Pedagogy.""","Women’s Empowerment, Special Interest, Asian Student Life"
Sigma Phi Epsilon,The Penn Eta Chapter of the Sigma Phi Epsilon Fraternity.,General Student Organizations
Sigma Pi,"Sigma Pi Theta Chapter is a fraternity governed by the Inter-fraternity Council.  Our organization strives to promote brotherhood through organized activities such as team-building exercises, community service work, and extracurricular activities.","Community, Service"
Sigma Sigma Sigma,Panhellenic Sorority,General Student Organizations
Sign Language Organization,Provides practice and experience in the art of sign language and Deaf culture. ,Art
Sikh Student Association,The Sikh Student Association (SSA) on campus serves to provide a group for not only Sikh students but all students on campus to learn more about the faith and spread awareness about its people. SSA hosts bi-weekly meetings and cultural events. ,"Religious, Heritage"
Silver Circle,Silver Circle provides a supportive and educational meeting ground for people interested in all paths of pagan spirituality. Silver Circle also aims to foster a healthy spiritual community for people of different spiritual...,"Community, Religious, Special Interest"
Silver Wings,"Silver Wings is a national, co-ed professional organization dedicated to creating proactive, knowledgeable, and effective civic leaders through community service and education about national defense.","Community, Service"
Singing Lions,"We are Penn State's premiere & only show choir as well as a dedicated THON organization! We love to sing, dance, travel, and perform together. We have three beautiful THON families that we are so grateful to be paired with. Most of all, we are a family.","Music, Dance, Travel"
Sisters On the Runway: Penn State Student Division,"Sisters on the Runway, SOTR, is a national organization that inspires students to raise awareness for survivors of inter-relational violence and sexual assault by producing a fashion show that involves their school and local community. ","Community, Fashion"
Sketchbook Club,Sketchbook Club will create sketchbooks via bookbinding then doodling with optional prompts. The mediums we use will be based on a vote. All skill levels are welcome to join us and sketch!,"General Student Organizations, Books"
Ski Club (Recreational),Provides students with a chance to share a similar interest in the recreational sport of alpine skiing and the cultural and social experiences that accompany it.,"Social Club, General Student Organizations, Heritage, Special Interest"
Skull and Bones Society,Recognizes and honors deserving seniors from all phases of student leadership.,Leadership
Slavic Club,"The Slavic Club strives to create an inclusive and welcoming space for all Russian-speaking students, especially freshmen. The language spoken at our meetings is Russian, and we meet bi-weekly.",General Student Organizations
Small And Exotic Animal Club,"To promote responsible pet ownership, to increase education about small and exotic animal topics among the students of the university and the community, and to provide students with animal-oriented volunteer opportunities throughout the area.","General Student Organizations, Community, Service"
Smeal Student Council,"Encourages student interaction through workshops, speakers, and events; establishes better student-faculty relationships; promotes the Smeal College of Business on campus through various techniques.",Business
Smeal Student Mentors,The mission of The Smeal Student Mentors is to provide guidance to the Smeal College of Business incoming first-year students.  The guidance provided will consist of academic advice as well as general information regarding...,"Business, Dance"
Snowboard,Provides an organization that allows students and all other people with the common interest of snowboarding to get together and enjoy the sport.,Special Interest
Soaring Club,Promotes education in the sport of soaring at the University.,General Student Organizations
Social Dance Club at Penn State,"Our goal as the Social Dance Club at Penn State is to provide an entertaining, fun, and social atmosphere while also providing a free opportunity to learn many different styles of dance such as: Salsa, Argentine Tango, Bachata, and Social Ballroom","General Student Organizations, Dance, Social Club, Fashion"
Society For Community Development,The Society for Community Development is an organization with the goal of creating a platform for students to collaborate on solutions toward advancing wealth in disadvantaged communities.,"Leadership, Community"
Society for Energy Business and Finance,"The Society for Energy Business and Finance provides a diverse range of opportunities for students majoring in EBF, pursuing a minor, or those interested in the field. ","Business, Finance, Special Interest"
Society for Human Resource Management at World Campus,"The Virtual Society for Human Resource Management Chapter is affiliated with Penn State World Campus as well as the Society for Human Resource Management. It provides networking, resources, guidance, educational growth, and Human Resources knowledge.","Leadership, Dance, Social Club"
"Society for Human Resources Management, Penn State Chapter","Provides a community for PSU students with an interest in human resources by providing members with professional HR views of current HR practices through guest speakers including alumni and employers, networking and professional development presentations","Leadership, Community, Social Club, Special Interest"
Society for Indian Music and Arts,SIMA-PSU's mission is to facilitate the discussion and learning of Indian music and the arts by involving students in organising activities related to Hindustani and Carnatic music.,"Music, Hindu Organizations, Asian Student Life, Art"
Society for Industrial Biotechnology,The Society for Industrial Biotechnology (SIB) is dedicated to providing valuable workforce development for our corporate sponsors. We offer industry-relevant experience (virtual and in-person) to help build the next generation of leaders in biotech,"Business, Technology, Leadership"
Society of American Military Engineers,The Society of American Military Engineers (SAME) builds leaders and leads collaboration among government and industry to develop multidisciplined solutions to national security infrastructure challenges.,General Student Organizations
Society of Asian Scientists and Engineers,"Our mission as an organization chapter is to represent the Asian community of Engineers and Scientists, support both domestic and international Asian students academically and professionally, and create a positive, inclusive, and engaging community.","International, Community, Asian Student Life"
Society of Bassists,Society of Bassists is an organization created to support all double bass players or bass enthusiasts at Penn State. We strive to provide educational and performance opportunities that can contribute to each musician's personal and professional growth.,Music
Society of Engineering Science,"SES is an established organization that promotes the development of the multidisciplinary interfaces through the application of engineering, applied sciences, mathematics, and other STEM disciplines.","Science, Leadership, Engineering, Mathematics"
Society of Environmental Systems Engineers,The Society of Environmental Systems Engineers (SESE) is the society for Environmental Systems Engineering (ENVSE) students.,"Engineering, Sustainability"
Society of Hispanic Professional Engineers,"SHPE changes lives by empowering the Hispanic community to realize their fullest potential and impacts the world through STEM awareness, access, support and development. ","Latino, Leadership, Community"
Society of Law and Sociology at World Campus,SLS provides a space for students interested in law and sociology to connect and share. ,"Special Interest, Law & Pre-Law"
Society of Manufacturing Engineers,"SME helps manufacturers innovate, grow and prosper by promoting manufacturing technology, developing a skilled workforce and connecting the manufacturing industry.",Technology
Society of Petroleum Engineers,"Our Chapter holds monthly meetings at which guest speakers discuss topics ranging from how to prepare a resume to the latest technologies in the oil and gas industry. We also organize educational, as well as fun, activitie...",General Student Organizations
Society of Physics Students,"SPS encourages students interested in physics and astronomy to develop knowledge, competence, enthusiasm, and social responsibility through outreach, activities, and professional planning.","Science, Special Interest, Social Club"
Society of Women Engineers,"Our mission is to empower women, provide a positive understanding of engineering, and demonstrate the value of diversity and inclusion.","Women’s Empowerment, Diversity, Engineering"
Sociology Club,"The Sociology Club will be a place for students in related majors to find support in peers, as well as assistance finding internships, as well as employment after they graduate. ","General Student Organizations, Service"
Software Development Organization at World Campus,"The Software Development Organization serves World Campus students interested in all aspects of software development, including topics related to software engineering, computer science, computer engineering, and professional development in these fields.","Leadership, Technology, Special Interest, Engineering, Science"
Soil Judging Team,A soil judger will use their knowledge of soil to accurately determine morphological features found throughout the soil profile.,General Student Organizations
"Solar Decathlon Team of Penn State, SDPS",Our team competes in the Department of Energy Solar Decathlon Competition. ,Art
South Asian Student Association,The mission of the South Asian Student Association is to celebrate and spread South Asian culture at the University Park campus by hosting multiple cultural and community events where members are given the opportunity to engage with each other.,"Community, Heritage, Asian Student Life"
South Halls Residence Association,"Provides the community of South Halls with a representative government primarily concerned with the advocacy of students in South Halls, Eastview Terrace, and Nittany Apartments, and event planning for those communities","Broadcasting, Community, Art, Advocacy"
Sovereign Magazine,"To create an artistic space, inclusive and cultural magazine outlet for people of color on Penn State’s University Park campus regarding topics such as social justice, academics, fashion/beauty, fitness, entertainment, spo...","Fitness, Human Rights, Fashion, Art, Heritage, Social Club"
Spanish Club,"To bring together speakers, professors, and students of the Spanish language, in the pursuit of cultural exchange and personal enrichment.","General Student Organizations, Heritage"
"Spanish, Italian and Portuguese Graduate Student Organization","The SIPGSO provides a forum for graduate students in the department of Spanish, Italian, and Portuguese to discuss and educate members about issues which directly affect them both as Graduate Students and Teaching Assistants.","General Student Organizations, European Student Life, Art"
Special Olympics Club at Penn State,The Special Olympics Club at Penn State is a club to connect college students and individuals with intellectual disabilities through sports to build friendships and help lead the the social justice movement of Special Olympics.,"General Student Organizations, Social Club, Human Rights"
Speech and Debate Society,"The Penn State Speech & Debate Society aims to provide a platform for structured, intelligent, and open debate through hosting public debates and participating in competition with other universities.","Public Speaking, Art"
Splatoon Club at Penn State,"The Penn State Splatoon Club fosters a positive community for fans to play, compete in various tournaments, and grow together. Values include open-mindedness, friendliness, and acceptance.","General Student Organizations, Community"
Sports Analytics Club at Penn State,The Penn State Sports Analytics Club is an organization focused on fostering the growth and development of advanced analytics as it relates to any facet of the sports landscape.,"Leadership, General Student Organizations, Mathematics"
Sports Business Club,"The purpose of the Penn State Sports Business Club is to foster the growth of students' knowledge in the business of sport through exposure to industry professionals, while providing opportunities for internships and future careers in sports.","Business, General Student Organizations"
Sports Business Conference,"The Sports Business Conference is committed to changing the game for the Penn State Community. Our mission is to create and execute a conference that gives professionals and alumni the opportunity to inspire, educate and...","Business, Community"
Sports Medicine Club at Penn State,"The mission of this organization shall be to educate students on the available opportunities in sports medicine. We strive to provide students with numerous opportunities for internships, shadowing, and future employment in the sports medicine industry.","Medicine & Health, General Student Organizations"
Sports Museum Club,"In partnership with the Penn State All-Sports Museum, student docents will deepen their sports history knowledge and build leadership skills through tours and events. We are dedicated to the history of Penn State sports and the future fans of PSU.","Leadership, General Student Organizations, Art"
Sports Watch Party,"Tired of watching live sports alone? So were we, so we started the Sports Watch Party organization! We watch live sports 2-3 times a week in large lecture halls. You don't need to have any knowledge of sports to join!
",Art
Stages of Stages,To connect students with an interest in theatre with real working professionals.,"Theater, Special Interest"
Star Wars Club,OUR MISSION is to create an environment for all students at Penn State to connect and share their love of Star Wars.,"General Student Organizations, Sustainability"
State College Association for Malayalis,Welcome (“Namaskaram”)! We are a group of Penn State students and faculty hailing from Kerala (a state in India) otherwise known as God’s Own Country. ,General Student Organizations
State of State,"State of State is an annual conference presented by the Penn State community for the Penn State community. By bringing together innovative speakers and community leaders, we create a dialogue on the present and the future of the University.",Community
Statesmen,"The Statesmen are Penn State’s premier all-male a cappella group, as we are Penn State's *only* all male a cappella group. We take pride in creating great music, having fun, and swellin' Thy fame. Enjoy our music on every streaming platform! ","Music, LGBTQ+"
Statistics Club,The purpose of the Statistics Club (“Stat Club”) is to unify and inform Penn State students about professional and academic opportunities in the field of statistics. Our mission is to advocate and promote the use and education of statistics.,"General Student Organizations, Mathematics"
Statistics Graduate Student Association,The purpose of the Statistics Graduate Student Association (SGSA) is to organize events within the statistics department and to liaise with the faculty on issues affecting graduate students in statistics.,"Art, Mathematics"
Steel Bridge Team,The Penn State Steel Bridge Team is a student-run organization sponsored by AISC that offers civil engineering students a chance to participate in a practical design and build competition of a 1/10th scale steel bridge.,"Fashion, Engineering, Art"
STEM Outreach at Penn State,The goal of STEM Outreach is to instill passion for STEM in both elementary and middle schoolers in the Penn State area. Members of STEM Outreach will travel to local elementary and middle schools to give fun and interactive STEM lessons.,Travel
Stoics at State,Enriching the College Experience through Stoic Philosophy and The Art of Living,Art
Storm Chase Team at Penn State,"To increase awareness and our knowledge of severe weather, notify officials and those in harm's way, expand diversity within our meteorology department, and offer immediate relief if necessary. A primary goal of Storm Chas...","Diversity, Art"
